"","index","Unnamed: 0","abv","ibu","id","name","style","brewery_id","ounces"
"1",0,0,0.05,NA,1436,"Pub Beer","American Pale Lager",408,12
"2",1,1,0.066,NA,2265,"Devil's Cup","American Pale Ale (APA)",177,12
"3",2,2,0.071,NA,2264,"Rise of the Phoenix","American IPA",177,12
"4",3,3,0.09,NA,2263,"Sinister","American Double / Imperial IPA",177,12
"5",4,4,0.075,NA,2262,"Sex and Candy","American IPA",177,12
"6",5,5,0.077,NA,2261,"Black Exodus","Oatmeal Stout",177,12
"7",6,6,0.045,NA,2260,"Lake Street Express","American Pale Ale (APA)",177,12
"8",7,7,0.065,NA,2259,"Foreman","American Porter",177,12
"9",8,8,0.055,NA,2258,"Jade","American Pale Ale (APA)",177,12
"10",9,9,0.086,NA,2131,"Cone Crusher","American Double / Imperial IPA",177,12
"11",10,10,0.072,NA,2099,"Sophomoric Saison","Saison / Farmhouse Ale",177,12
"12",11,11,0.073,NA,2098,"Regional Ring Of Fire","Saison / Farmhouse Ale",177,12
"13",12,12,0.069,NA,2097,"Garce Selé","Saison / Farmhouse Ale",177,12
"14",13,13,0.085,NA,1980,"Troll Destroyer","Belgian IPA",177,12
"15",14,14,0.061,60,1979,"Bitter Bitch","American Pale Ale (APA)",177,12
"16",15,15,0.06,NA,2318,"Ginja Ninja","Cider",154,12
"17",16,16,0.06,NA,2170,"Cherried Away","Cider",154,12
"18",17,17,0.06,NA,2169,"Rhubarbarian","Cider",154,12
"19",18,18,0.06,NA,1502,"BrightCider","Cider",154,12
"20",19,19,0.082,NA,1593,"He Said Baltic-Style Porter","Baltic Porter",368,12
"21",20,20,0.082,NA,1592,"He Said Belgian-Style Tripel","Tripel",368,12
"22",21,21,0.099,92,1036,"Lower De Boom","American Barleywine",368,8.4
"23",22,22,0.079,45,1024,"Fireside Chat","Winter Warmer",368,12
"24",23,23,0.079,NA,976,"Marooned On Hog Island","American Stout",368,12
"25",24,24,0.044,42,876,"Bitter American","American Pale Ale (APA)",368,12
"26",25,25,0.049,17,802,"Hell or High Watermelon Wheat (2009)","Fruit / Vegetable Beer",368,12
"27",26,26,0.049,17,801,"Hell or High Watermelon Wheat (2009)","Fruit / Vegetable Beer",368,12
"28",27,27,0.049,17,800,"21st Amendment Watermelon Wheat Beer (2006)","Fruit / Vegetable Beer",368,12
"29",28,28,0.07,70,799,"21st Amendment IPA (2006)","American IPA",368,12
"30",29,29,0.07,70,797,"Brew Free! or Die IPA (2008)","American IPA",368,12
"31",30,30,0.07,70,796,"Brew Free! or Die IPA (2009)","American IPA",368,12
"32",31,31,0.085,52,531,"Special Edition: Allies Win The War!","English Strong Ale",368,12
"33",32,32,0.097,94,432,"Hop Crisis","American Double / Imperial IPA",368,12
"34",33,33,0.044,42,353,"Bitter American (2011)","American Pale Ale (APA)",368,12
"35",34,34,0.079,45,321,"Fireside Chat (2010)","Winter Warmer",368,12
"36",35,35,0.068,65,173,"Back in Black","American Black Ale",368,12
"37",36,36,0.083,35,11,"Monk's Blood","Belgian Dark Ale",368,12
"38",37,37,0.07,65,10,"Brew Free! or Die IPA","American IPA",368,12
"39",38,38,0.049,17,9,"Hell or High Watermelon Wheat","Fruit / Vegetable Beer",368,12
"40",39,39,0.07,82,2519,"Bimini Twist","American IPA",67,12
"41",40,40,0.05,NA,2518,"Beach Blonde","American Blonde Ale",67,12
"42",41,41,0.059,NA,2517,"Rod Bender Red","American Amber / Red Ale",67,12
"43",42,42,0.035,11,2545,"Passion Fruit Prussia","Berliner Weissbier",60,12
"44",43,43,0.045,18,2544,"Send Help","American Blonde Ale",60,12
"45",44,44,0.055,NA,2324,"Cast Iron Oatmeal Brown","American Brown Ale",60,12
"46",45,45,0.06,NA,2288,"Reprise Centennial Red","American Amber / Red Ale",60,12
"47",46,46,0.055,NA,2287,"Alter Ego","American Black Ale",60,12
"48",47,47,0.065,NA,2286,"Divided Sky","American IPA",60,12
"49",48,48,0.065,NA,2285,"Resurrected","American IPA",60,12
"50",49,49,0.05,28,1870,"Contact High","American Pale Wheat Ale",60,12
"51",50,50,0.065,NA,2603,"Galaxyfest","American IPA",27,16
"52",51,51,0.05,45,2602,"Citrafest","American IPA",27,16
"53",52,52,0.09,NA,2220,"Barn Yeti","Belgian Strong Dark Ale",27,16
"54",53,53,0.069,65,2219,"Scarecrow","American IPA",27,16
"55",54,54,0.09,50,2218,"Ironman","English Strong Ale",27,16
