"ABV","IBU","Name","Style","Brewery","City","State","Category"
"1",5,26,"Pub Beer","American Pale Lager","10 Barrel Brewing Company","Bend"," OR","Lager"
"2",6.6,63,"Devil's Cup","American Pale Ale (APA)","18th Street Brewery","Gary"," IN","Ale"
"3",7.1,82,"Rise of the Phoenix","American IPA","18th Street Brewery","Gary"," IN","Ale"
"4",9,103,"Sinister","American Double / Imperial IPA","18th Street Brewery","Gary"," IN","Ale"
"5",7.5,85,"Sex and Candy","American IPA","18th Street Brewery","Gary"," IN","Ale"
"6",7.7,55,"Black Exodus","Oatmeal Stout","18th Street Brewery","Gary"," IN","Ale"
"7",4.5,48,"Lake Street Express","American Pale Ale (APA)","18th Street Brewery","Gary"," IN","Ale"
"8",6.5,43,"Foreman","American Porter","18th Street Brewery","Gary"," IN","Ale"
"9",5.5,55,"Jade","American Pale Ale (APA)","18th Street Brewery","Gary"," IN","Ale"
"10",8.6,100,"Cone Crusher","American Double / Imperial IPA","18th Street Brewery","Gary"," IN","Ale"
"11",7.2,46,"Sophomoric Saison","Saison / Farmhouse Ale","18th Street Brewery","Gary"," IN","Other"
"12",7.3,47,"Regional Ring Of Fire","Saison / Farmhouse Ale","18th Street Brewery","Gary"," IN","Other"
"13",6.9,44,"Garce Selé","Saison / Farmhouse Ale","18th Street Brewery","Gary"," IN","Other"
"14",8.5,80,"Troll Destroyer","Belgian IPA","18th Street Brewery","Gary"," IN","Traditional Germanic"
"15",6.1,60,"Bitter Bitch","American Pale Ale (APA)","18th Street Brewery","Gary"," IN","Ale"
"16",6,13,"Ginja Ninja","Cider","2 Towns Ciderhouse","Corvallis"," OR","Other"
"17",6,13,"Cherried Away","Cider","2 Towns Ciderhouse","Corvallis"," OR","Other"
"18",6,13,"Rhubarbarian","Cider","2 Towns Ciderhouse","Corvallis"," OR","Other"
"19",6,13,"BrightCider","Cider","2 Towns Ciderhouse","Corvallis"," OR","Other"
"20",8.2,43,"He Said Baltic-Style Porter","Baltic Porter","21st Amendment Brewery","San Francisco"," CA","Ale"
"21",8.2,23,"He Said Belgian-Style Tripel","Tripel","21st Amendment Brewery","San Francisco"," CA","Traditional Germanic"
"22",9.9,92,"Lower De Boom","American Barleywine","21st Amendment Brewery","San Francisco"," CA","Ale"
"23",7.9,45,"Fireside Chat","Winter Warmer","21st Amendment Brewery","San Francisco"," CA","Ale"
"24",7.9,54,"Marooned On Hog Island","American Stout","21st Amendment Brewery","San Francisco"," CA","Ale"
"25",4.4,42,"Bitter American","American Pale Ale (APA)","21st Amendment Brewery","San Francisco"," CA","Ale"
"26",4.9,17,"Hell or High Watermelon Wheat (2009)","Fruit / Vegetable Beer","21st Amendment Brewery","San Francisco"," CA","Other"
"27",4.9,17,"Hell or High Watermelon Wheat (2009)","Fruit / Vegetable Beer","21st Amendment Brewery","San Francisco"," CA","Other"
