"","index","Unnamed: 0","name","city","state"
"1",0,0,"NorthGate Brewing ","Minneapolis"," MN"
"2",1,1,"Against the Grain Brewery","Louisville"," KY"
"3",2,2,"Jack's Abby Craft Lagers","Framingham"," MA"
"4",3,3,"Mike Hess Brewing Company","San Diego"," CA"
"5",4,4,"Fort Point Beer Company","San Francisco"," CA"
"6",5,5,"COAST Brewing Company","Charleston"," SC"
"7",6,6,"Great Divide Brewing Company","Denver"," CO"
"8",7,7,"Tapistry Brewing","Bridgman"," MI"
"9",8,8,"Big Lake Brewing","Holland"," MI"
"10",9,9,"The Mitten Brewing Company","Grand Rapids"," MI"
"11",10,10,"Brewery Vivant","Grand Rapids"," MI"
"12",11,11,"Petoskey Brewing","Petoskey"," MI"
"13",12,12,"Blackrocks Brewery","Marquette"," MI"
"14",13,13,"Perrin Brewing Company","Comstock Park"," MI"
"15",14,14,"Witch's Hat Brewing Company","South Lyon"," MI"
"16",15,15,"Founders Brewing Company","Grand Rapids"," MI"
"17",16,16,"Flat 12 Bierwerks","Indianapolis"," IN"
"18",17,17,"Tin Man Brewing Company","Evansville"," IN"
"19",18,18,"Black Acre Brewing Co.","Indianapolis"," IN"
"20",19,19,"Brew Link Brewing","Plainfield"," IN"
"21",20,20,"Bare Hands Brewery","Granger"," IN"
"22",21,21,"Three Pints Brewing","Martinsville"," IN"
"23",22,22,"Four Fathers Brewing ","Valparaiso"," IN"
"24",23,23,"Indiana City Brewing","Indianapolis"," IN"
"25",24,24,"Burn 'Em Brewing","Michigan City"," IN"
"26",25,25,"Sun King Brewing Company","Indianapolis"," IN"
"27",26,26,"Evil Czech Brewery","Mishawaka"," IN"
"28",27,27,"450 North Brewing Company","Columbus"," IN"
"29",28,28,"Taxman Brewing Company","Bargersville"," IN"
"30",29,29,"Cedar Creek Brewery","Seven Points"," TX"
"31",30,30,"SanTan Brewing Company","Chandler"," AZ"
"32",31,31,"Boulevard Brewing Company","Kansas City"," MO"
"33",32,32,"James Page Brewing Company","Stevens Point"," WI"
"34",33,33,"The Dudes' Brewing Company","Torrance"," CA"
"35",34,34,"Ballast Point Brewing Company","San Diego"," CA"
"36",35,35,"Anchor Brewing Company","San Francisco"," CA"
"37",36,36,"Figueroa Mountain Brewing Company","Buellton"," CA"
"38",37,37,"Avery Brewing Company","Boulder"," CO"
"39",38,38,"Twisted X Brewing Company","Dripping Springs"," TX"
"40",39,39,"Gonzo's BiggDogg Brewing","Kalamazoo"," MI"
"41",40,40,"Big Muddy Brewing","Murphysboro"," IL"
"42",41,41,"Lost Nation Brewing","East Fairfield"," VT"
"43",42,42,"Rising Tide Brewing Company","Portland"," ME"
"44",43,43,"Rivertowne Brewing Company","Export"," PA"
"45",44,44,"Revolution Brewing Company","Chicago"," IL"
"46",45,45,"Tallgrass Brewing Company","Manhattan"," KS"
"47",46,46,"Sixpoint Craft Ales","Brooklyn"," NY"
"48",47,47,"White Birch Brewing","Hooksett"," NH"
"49",48,48,"Firestone Walker Brewing Company","Paso Robles"," CA"
"50",49,49,"SweetWater Brewing Company","Atlanta"," GA"
"51",50,50,"Flying Mouse Brewery","Troutville"," VA"
"52",51,51,"Upslope Brewing Company","Boulder"," CO"
"53",52,52,"Pipeworks Brewing Company","Chicago"," IL"
"54",53,53,"Bent Brewstillery","Roseville"," MN"
